iter	MultiClass
0	-1.456478558
1	-1.343572443
2	-1.258600615
3	-1.189265447
4	-1.129709216
5	-1.078916085
6	-1.035558778
7	-0.9962449043
8	-0.9638558564
9	-0.933847104
10	-0.9054830074
11	-0.8829205302
12	-0.8614460562
13	-0.8395659187
14	-0.8214940119
15	-0.8035642936
16	-0.7877872592
17	-0.771568753
18	-0.7574119521
19	-0.744172308
20	-0.7329777577
21	-0.7215681369
22	-0.7104263916
23	-0.7007725372
24	-0.6886996636
25	-0.6790939938
26	-0.6700363958
27	-0.6603928824
28	-0.6486104364
29	-0.6420858284
30	-0.632358707
31	-0.6257029666
32	-0.6186949178
33	-0.6121325762
34	-0.6031910943
35	-0.594583879
36	-0.5862461342
37	-0.579982746
38	-0.5719975846
39	-0.563650984
40	-0.5564076779
41	-0.5512874079
42	-0.5475091001
43	-0.5395148078
44	-0.5313986791
45	-0.5251954115
46	-0.5187147527
47	-0.5115167709
48	-0.5061996372
49	-0.5006930656
50	-0.4955403426
51	-0.4896654011
52	-0.4830968989
53	-0.4780223933
54	-0.4733815487
55	-0.4692616585
56	-0.464558713
57	-0.4618360651
58	-0.4577898269
59	-0.4539923222
60	-0.4502463848
61	-0.4470353457
62	-0.4439197406
63	-0.4404344179
64	-0.435800119
65	-0.4308966245
66	-0.4255026486
67	-0.4182167685
68	-0.415814691
69	-0.4118415546
70	-0.4083570571
71	-0.4050223662
72	-0.4019779654
73	-0.399451246
74	-0.3953693644
75	-0.3918500485
76	-0.3872333787
77	-0.3848861414
78	-0.3834818309
79	-0.380315731
80	-0.3763927319
81	-0.3736494846
82	-0.3708918259
83	-0.3672760584
84	-0.3648164454
85	-0.3612045558
86	-0.3587318791
87	-0.3558265039
88	-0.3521904945
89	-0.3497839065
90	-0.3476862278
91	-0.3456326083
92	-0.3416056219
93	-0.3383030266
94	-0.334997791
95	-0.33300751
96	-0.3290071461
97	-0.3264166757
98	-0.3230073153
99	-0.3211743491
100	-0.3177920513
101	-0.3153641213
102	-0.3132104748
103	-0.3097084306
104	-0.3076364393
105	-0.3055719838
106	-0.3036513669
107	-0.3017167511
108	-0.3000401648
109	-0.2972463952
110	-0.2943445953
111	-0.2912044029
112	-0.2891320816
113	-0.2863977176
114	-0.2846681338
115	-0.2825056589
116	-0.279888016
117	-0.2775806024
118	-0.2752140033
119	-0.2741029805
120	-0.2727094235
121	-0.2709787946
122	-0.2689186295
123	-0.2672804918
124	-0.2654603694
125	-0.2627573859
126	-0.2601812994
127	-0.2574199828
128	-0.2557583854
129	-0.2543487944
130	-0.2529087855
131	-0.2515405034
