iter	Passed	Remaining
0	262	130899
1	467	116518
2	676	112152
3	892	110694
4	1108	109729
5	1311	107952
6	1530	107826
7	1752	107749
8	1958	106832
9	2164	106060
10	2382	105924
11	2572	104607
12	2767	103680
13	2994	103957
14	3204	103603
15	3425	103634
16	3637	103334
17	3863	103458
18	4077	103215
19	4268	102446
20	4463	101803
21	4695	102014
22	4893	101483
23	5100	101152
24	5335	101383
25	5545	101092
26	5740	100563
27	5959	100459
28	6182	100409
29	6393	100163
30	6612	100042
31	6812	99639
32	7013	99256
33	7237	99190
34	7475	99322
35	7703	99294
36	7933	99281
37	8127	98818
38	8345	98645
39	8565	98508
40	8791	98421
41	8988	98016
42	9163	97386
43	9399	97415
44	9617	97241
45	9818	96902
46	10029	96666
47	10260	96616
48	10471	96380
49	10685	96169
50	10896	95929
51	11126	95857
52	11357	95792
53	11562	95500
54	11766	95203
55	11975	94947
56	12177	94645
57	12355	94157
58	12575	93994
59	12782	93739
60	12992	93501
61	13209	93315
62	13411	93028
63	13623	92812
64	13864	92783
65	14080	92592
66	14308	92472
67	14555	92467
68	14742	92085
69	14951	91846
70	15143	91500
71	15332	91140
72	15538	90892
73	15744	90635
74	15945	90358
75	16156	90138
76	16367	89913
77	16552	89554
78	16722	89118
79	16926	88864
80	17126	88593
81	17318	88282
82	17515	87999
83	17719	87753
84	17905	87419
85	18115	87208
86	18304	86895
87	18493	86581
88	18722	86462
89	18939	86281
90	19127	85966
91	19320	85680
92	19555	85582
93	19780	85436
94	19996	85248
95	20193	84981
96	20434	84896
97	20644	84684
98	20863	84508
99	21045	84181
100	21248	83943
101	21453	83712
102	21652	83457
103	21876	83300
104	22084	83080
105	22284	82832
106	22488	82597
107	22671	82289
108	22849	81964
109	23069	81792
110	23296	81642
111	23509	81444
112	23709	81199
113	23918	80986
114	24133	80793
115	24342	80580
116	24570	80430
117	24764	80170
118	24970	79946
119	25151	79645
120	25340	79371
121	25551	79169
122	25756	78945
123	25944	78671
124	26136	78409
125	26373	78282
126	26592	78101
127	26796	77876
128	26996	77640
129	27200	77416
130	27371	77098
131	27543	76787
132	27731	76521
133	27924	76272
134	28120	76030
135	28333	75833
136	28518	75562
137	28710	75312
138	28910	75085
139	29149	74955
140	29341	74706
141	29516	74414
142	29695	74135
143	29871	73849
144	30087	73662
145	30272	73400
146	30492	73223
147	30723	73072
148	30918	72835
149	31132	72643
150	31322	72393
151	31522	72169
152	31689	71870
153	31880	71626
154	32088	71423
155	32298	71221
156	32516	71038
157	32708	70799
158	32883	70523
159	33063	70259
160	33274	70063
161	33475	69844
162	33650	69571
163	33832	69314
164	34032	69096
165	34211	68836
166	34410	68614
167	34590	68357
168	34746	68053
169	34946	67838
170	35153	67634
171	35352	67415
172	35546	67188
173	35744	66969
174	35922	66713
175	36104	66465
176	36301	66245
177	36491	66012
178	36715	65842
179	36953	65695
180	37193	65550
181	37377	65308
182	37544	65035
183	37776	64877
184	37977	64664
185	38159	64419
186	38395	64266
187	38585	64034
188	38771	63798
189	38979	63598
190	39164	63359
191	39365	63148
192	39552	62914
193	39725	62660
194	39947	62481
195	40167	62300
196	40369	62090
197	40554	61855
198	40764	61659
199	40990	61486
200	41183	61263
201	41393	61066
202	41578	60831
203	41792	60640
204	41989	60423
205	42187	60209
206	42408	60028
207	42607	59814
208	42807	59602
209	43000	59381
210	43202	59173
211	43402	58961
212	43591	58736
213	43766	58491
214	43951	58261
215	44136	58031
216	44342	57829
217	44543	57621
218	44754	57424
219	44967	57231
220	45206	57071
221	45379	56826
222	45555	56586
223	45733	56349
224	45930	56136
225	46123	55919
226	46349	55742
227	46582	55572
228	46778	55357
229	46943	55107
230	47124	54876
231	47299	54639
232	47493	54423
233	47703	54226
234	47919	54036
235	48116	53824
236	48345	53649
237	48549	53445
238	48754	53242
239	48943	53021
240	49111	52779
241	49294	52553
242	49468	52318
243	49704	52149
244	49904	51941
245	50103	51732
246	50296	51518
247	50487	51302
248	50701	51108
249	50917	50917
250	51128	50720
251	51321	50506
252	51493	50272
253	51684	50056
254	51874	49840
255	52062	49622
256	52337	49486
257	52524	49267
258	52733	49068
259	52914	48844
260	53141	48661
261	53351	48464
262	53544	48250
263	53739	48039
264	53949	47841
265	54189	47670
266	54356	47434
267	54548	47220
268	54729	46997
269	54968	46824
270	55185	46633
271	55372	46415
272	55611	46240
273	55847	46064
274	56039	45850
275	56266	45665
276	56473	45464
277	56652	45240
278	56863	45042
279	57081	44850
280	57266	44631
281	57473	44430
282	57698	44242
283	57912	44046
284	58103	43832
285	58306	43627
286	58524	43434
287	58714	43220
288	58933	43027
289	59109	42803
290	59301	42591
291	59484	42372
292	59664	42151
293	59849	41935
294	60060	41736
295	60256	41528
296	60480	41338
297	60687	41137
298	60888	40931
299	61065	40710
300	61244	40490
301	61441	40283
302	61617	40061
303	61795	39842
304	61996	39636
305	62198	39432
306	62430	39247
307	62580	39011
308	62771	38800
309	62951	38582
310	63131	38365
311	63309	38148
312	63509	37943
313	63675	37718
314	63884	37519
315	64057	37299
316	64235	37082
317	64447	36885
318	64631	36671
319	64821	36462
320	65020	36257
321	65214	36050
322	65408	35842
323	65600	35634
324	65808	35435
325	66017	35236
326	66238	35043
327	66421	34830
328	66654	34643
329	66864	34445
330	67024	34221
331	67210	34010
332	67411	33806
333	67589	33592
334	67763	33376
335	67979	33180
336	68155	32965
337	68373	32770
338	68573	32567
339	68776	32365
340	68967	32157
341	69170	31955
342	69386	31759
343	69606	31565
344	69795	31357
345	69979	31146
346	70191	30948
347	70391	30745
348	70611	30551
349	70838	30359
350	71010	30144
351	71221	29945
352	71403	29734
353	71625	29540
354	71802	29327
355	71988	29118
356	72159	28904
357	72357	28700
358	72538	28490
359	72736	28286
360	72926	28079
361	73105	27868
362	73302	27665
363	73508	27464
364	73717	27265
365	73912	27060
366	74113	26858
367	74307	26653
368	74487	26443
369	74691	26243
370	74887	26039
371	75086	25836
372	75241	25618
373	75472	25426
374	75702	25234
375	75895	25029
376	76102	24829
377	76320	24632
378	76498	24422
379	76704	24222
380	76877	24011
381	77057	23803
382	77261	23602
383	77447	23395
384	77640	23191
385	77814	22981
386	77987	22771
387	78191	22570
388	78378	22365
389	78603	22170
390	78794	21965
391	78981	21760
392	79176	21557
393	79363	21351
394	79576	21153
395	79776	20951
396	79975	20749
397	80162	20544
398	80370	20344
399	80569	20142
400	80773	19941
401	80994	19744
402	81168	19536
403	81374	19336
404	81547	19128
405	81729	18922
406	81956	18727
407	82145	18522
408	82340	18320
409	82537	18118
410	82756	17920
411	82947	17716
412	83177	17521
413	83372	17318
414	83552	17113
415	83743	16909
416	83926	16704
417	84134	16504
418	84344	16305
419	84582	16110
420	84781	15909
421	84961	15703
422	85174	15504
423	85395	15306
424	85625	15110
425	85813	14906
426	86020	14706
427	86237	14507
428	86425	14303
429	86625	14101
430	86801	13896
431	86993	13693
432	87182	13490
433	87381	13288
434	87578	13086
435	87796	12887
436	87999	12686
437	88208	12486
438	88380	12280
439	88584	12079
440	88784	11878
441	88960	11673
442	89173	11473
443	89390	11274
444	89593	11073
445	89781	10870
446	90009	10672
447	90214	10471
448	90402	10268
449	90621	10069
450	90823	9867
451	91008	9664
452	91226	9464
453	91391	9259
454	91596	9058
455	91792	8857
456	91986	8655
457	92200	8455
458	92390	8252
459	92556	8048
460	92731	7844
461	92934	7643
462	93115	7441
463	93291	7238
464	93458	7034
465	93673	6834
466	93880	6633
467	94066	6431
468	94268	6230
469	94474	6030
470	94689	5830
471	94860	5627
472	95071	5426
473	95254	5224
474	95435	5022
475	95635	4821
476	95827	4620
477	96008	4418
478	96179	4216
479	96389	4016
480	96562	3814
481	96771	3613
482	96963	3412
483	97163	3212
484	97338	3010
485	97547	2810
486	97749	2609
487	97957	2408
488	98162	2208
489	98377	2007
490	98585	1807
491	98805	1606
492	99009	1405
493	99202	1204
494	99385	1003
495	99619	803
496	99788	602
497	99972	401
498	100136	200
499	100329	0
